Date,MSCIDeveloped,MSCIEmerging,Commodity,Gold,DowToGold,ShillerPE,Cpi
1989-2-27,511.511,4.498720942242063,144.94404318689502,392.6,5.719561895058583,15.47,121.6
1989-2-28,511.511,4.498720942242063,149.19460163812363,389.8,5.773217034376604,15.47,121.6
1989-3-1,507.484,4.8331891329939305,146.47424422933733,390.4,5.784836065573771,15.47,121.6
1989-3-2,507.484,4.8331891329939305,146.64426656738647,387.1,5.7943683802634975,15.3,122.2
1989-3-3,507.484,4.8331891329939305,148.3444899478779,386.6,5.860579410243145,15.3,122.2
1989-3-4,507.484,4.8331891329939305,150.72480268056592,389.3,5.8420241459029025,15.3,122.2
1989-3-5,507.484,4.8331891329939305,150.72480268056592,389.3,5.8420241459029025,15.3,122.2
1989-3-6,507.484,4.8331891329939305,150.72480268056592,389.3,5.8420241459029025,15.3,122.2
1989-3-7,507.484,4.8331891329939305,150.72480268056592,390.5,5.876568501920615,15.3,122.2
1989-3-8,507.484,4.8331891329939305,149.19460163812363,395.7,5.788981551680566,15.3,122.2
1989-3-9,507.484,4.8331891329939305,149.19460163812363,395.4,5.805513404147699,15.3,122.2
1989-3-10,507.484,4.8331891329939305,151.31988086373792,397.3,5.76743015353637,15.3,122.2
1989-3-11,507.484,4.8331891329939305,149.87469099032018,396.5,5.755611601513241,15.3,122.2
1989-3-12,507.484,4.8331891329939305,149.87469099032018,396.5,5.755611601513241,15.3,122.2
1989-3-13,507.484,4.8331891329939305,149.87469099032018,396.5,5.755611601513241,15.3,122.2
1989-3-14,507.484,4.8331891329939305,153.87021593447508,396.4,5.81811301715439,15.3,122.2
1989-3-15,507.484,4.8331891329939305,158.37580789277737,398.1,5.793268023109771,15.3,122.2
1989-3-16,507.484,4.8331891329939305,162.2013104988831,393.8,5.892585068562722,15.3,122.2
1989-3-17,507.484,4.8331891329939305,161.09616530156367,391.3,5.981855353948377,15.3,122.2
1989-3-18,507.484,4.8331891329939305,164.0715562174237,395.0,5.802784810126582,15.3,122.2
1989-3-19,507.484,4.8331891329939305,164.0715562174237,395.0,5.802784810126582,15.3,122.2
1989-3-20,507.484,4.8331891329939305,164.0715562174237,395.0,5.802784810126582,15.3,122.2
1989-3-21,507.484,4.8331891329939305,163.05142218912883,397.4,5.693256165072975,15.3,122.2
1989-3-22,507.484,4.8331891329939305,166.87692479523454,395.6,5.728766430738119,15.3,122.2
1989-3-23,507.484,4.8331891329939305,166.62189128816087,400.2,5.655172413793103,15.3,122.2
1989-3-24,507.484,4.8331891329939305,169.4272598659717,393.4,5.701576004067108,15.3,122.2
1989-3-25,507.484,4.8331891329939305,169.4272598659717,393.4,5.701576004067108,15.3,122.2
1989-3-26,507.484,4.8331891329939305,169.4272598659717,393.4,5.701576004067108,15.3,122.2
1989-3-27,507.484,4.8331891329939305,169.4272598659717,393.4,5.701576004067108,15.3,122.2
1989-3-28,507.484,4.8331891329939305,169.4272598659717,396.4,5.696014127144299,15.3,122.2
1989-3-29,507.484,4.8331891329939305,167.72703648548028,388.0,5.864690721649485,15.3,122.2
1989-3-30,507.484,4.8331891329939305,165.34672375279226,387.5,5.887741935483871,15.3,122.2
1989-3-31,507.484,4.8331891329939305,170.0223380491437,386.2,5.90704298291041,15.3,122.2
1989-4-1,503.406,5.289907939953896,173.84784065524946,390.0,5.881025641025641,15.3,122.2
1989-4-2,503.406,5.289907939953896,173.84784065524946,390.0,5.881025641025641,15.69,123.1
1989-4-3,503.406,5.289907939953896,173.84784065524946,390.0,5.881025641025641,15.69,123.1
1989-4-4,503.406,5.289907939953896,167.04694713328368,391.1,5.893121963692151,15.69,123.1
1989-4-5,503.406,5.289907939953896,169.172226358898,390.9,5.879253005883857,15.69,123.1
1989-4-6,503.406,5.289907939953896,167.89705882352942,388.6,5.931034482758621,15.69,123.1
1989-4-7,503.406,5.289907939953896,162.2013104988831,388.7,5.89657833804991,15.69,123.1
1989-4-8,503.406,5.289907939953896,164.9216679076694,388.0,5.9402061855670105,15.69,123.1
1989-4-9,503.406,5.289907939953896,164.9216679076694,388.0,5.9402061855670105,15.69,123.1
1989-4-10,503.406,5.289907939953896,164.9216679076694,388.0,5.9402061855670105,15.69,123.1
1989-4-11,503.406,5.289907939953896,166.62189128816087,390.3,5.897770945426595,15.69,123.1
1989-4-12,503.406,5.289907939953896,169.59728220402084,389.9,5.928699666581175,15.69,123.1
1989-4-13,503.406,5.289907939953896,168.74717051377516,392.1,5.916092833460851,15.69,123.1
1989-4-14,503.406,5.289907939953896,169.59728220402084,394.2,5.824454591577879,15.69,123.1
1989-4-15,503.406,5.289907939953896,166.87692479523454,389.8,5.995638789122626,15.69,123.1
1989-4-16,503.406,5.289907939953896,166.87692479523454,389.8,5.995638789122626,15.69,123.1
1989-4-17,503.406,5.289907939953896,166.87692479523454,389.8,5.995638789122626,15.69,123.1
1989-4-18,503.406,5.289907939953896,169.00220402084884,390.1,5.992822353242758,15.69,123.1
1989-4-19,503.406,5.289907939953896,171.72256142963516,387.4,6.141972121837894,15.69,123.1
1989-4-20,503.406,5.289907939953896,182.7740134028295,387.1,6.166106949108757,15.69,123.1
