DateTime,Dow/Gold
1859-01-01,0.436865021770682
1860-01-01,0.515239477503628
1861-01-01,0.581519109820997
1862-01-01,0.654478976234004
1863-01-01,0.811399295549152
1864-01-01,0.512973202892386
1865-01-01,0.862673726009265
1866-01-01,0.917551309271054
1867-01-01,0.96805455850682
1868-01-01,1.05330948121646
1869-01-01,1.00955794504182
1870-01-01,1.15122377622378
1871-01-01,1.32757857459053
1872-01-01,1.5028029322984
1873-01-01,1.39841688654354
1874-01-01,1.46123863144218
1875-01-01,1.35683942225998
1876-01-01,1.35739910313901
1877-01-01,1.15670588235294
1878-01-01,1.21459642339294
1879-01-01,1.4644412191582
1880-01-01,1.45766811804548
1881-01-01,1.69279148524432
1882-01-01,1.57861635220126
1883-01-01,1.47121432027092
1884-01-01,1.37687469762941
1885-01-01,1.90082244799226
1886-01-01,1.98500241896468
1887-01-01,1.8180938558297
1888-01-01,1.90566037735849
1889-01-01,2.01064344460571
1890-01-01,1.72617319787131
1891-01-01,2.03047895500726
1892-01-01,1.89695210449927
1893-01-01,1.43057571359458
1894-01-01,1.42235123367199
1895-01-01,1.45476536042574
1896-07-31,1.54910498306725
1896-08-31,1.54668601838413
1896-09-30,1.74407353652637
1896-10-31,1.91243347847121
1896-11-30,1.98355104015481
1896-12-31,1.95694242864054
1897-01-31,2.05902273826802
1897-02-28,2.01790033865506
1897-03-31,1.90953072085148
1897-04-30,1.8848572810837
1897-05-31,1.93081761006289
1897-06-30,2.13352685050798
1897-07-31,2.31640058055152
1897-08-31,2.65166908563135
1897-09-30,2.46637639090469
1897-10-31,2.37203676826318
1897-11-30,2.29608127721335
1897-12-31,2.39042089985486
1898-01-31,2.41944847605225
1898-02-28,2.23367198838897
1898-03-31,2.19738751814223
1898-04-30,2.22544750846638
1898-05-31,2.55152394775036
1898-06-30,2.54571843251088
1898-07-31,2.62215771649734
1898-08-31,2.91969037252056
1898-09-30,2.58538945331398
1898-10-31,2.68166424770198
1898-11-30,2.76729559748428
1898-12-31,2.92791485244315
1899-01-31,3.11320754716981
1899-02-28,3.23076923076923
1899-03-31,3.59603289791969
1899-04-30,3.71117561683599
1899-05-31,3.26608611514272
1899-06-30,3.40493468795356
