Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-11,307.61,307.61,307.61,307.61
1988-01-12,310.77,310.77,310.77,310.77
1988-01-13,302.42,302.42,302.42,302.42
1988-01-14,306.71,306.71,306.71,306.71
1988-01-15,311.94,311.94,311.94,311.94
1988-01-18,334.99,334.99,334.99,334.99
1988-01-19,323.37,323.37,323.37,323.37
1988-01-20,320.37,320.37,320.37,320.37
1988-01-21,316.04,316.04,316.04,316.04
1988-01-22,318.8,318.8,318.8,318.8
1988-01-25,317.85,317.85,317.85,317.85
1988-01-26,318.02,318.02,318.02,318.02
1988-01-27,319.35,319.35,319.35,319.35
1988-01-28,318.34,318.34,318.34,318.34
1988-01-29,318.78,318.78,318.78,318.78
1988-02-01,318.37,318.37,318.37,318.37
1988-02-02,315.07,315.07,315.07,315.07
1988-02-03,317.29,317.29,317.29,317.29
1988-02-04,320.59,320.59,320.59,320.59
1988-02-05,320.19,320.19,320.19,320.19
1988-02-08,323.09,323.09,323.09,323.09
1988-02-09,324.17,324.17,324.17,324.17
1988-02-10,327.13,327.13,327.13,327.13
1988-02-11,330.07,330.07,330.07,330.07
1988-02-12,330.86,330.86,330.86,330.86
1988-02-15,335.79,335.79,335.79,335.79
1988-02-16,340.26,340.26,340.26,340.26
1988-02-17,340.37,340.37,340.37,340.37
1988-02-18,347.94,347.94,347.94,347.94
1988-02-19,353.97,353.97,353.97,353.97
1988-02-22,362.79,362.79,362.79,362.79
1988-02-23,361.1,361.1,361.1,361.1
1988-02-24,369.8,369.8,369.8,369.8
1988-02-25,372.89,372.89,372.89,372.89
1988-02-26,372.32,372.32,372.32,372.32
1988-02-29,374.83,374.83,374.83,374.83
1988-03-01,373.52,373.52,373.52,373.52
1988-03-03,376.15,376.15,376.15,376.15
1988-03-04,380.07,380.07,380.07,380.07
1988-03-07,383.74,383.74,383.74,383.74
1988-03-08,382.86,382.86,382.86,382.86
1988-03-09,384.78,384.78,384.78,384.78
1988-03-10,387.55,387.55,387.55,387.55
1988-03-11,385.21,385.21,385.21,385.21
1988-03-14,384.67,384.67,384.67,384.67
1988-03-15,383.61,383.61,383.61,383.61
1988-03-16,385.02,385.02,385.02,385.02
1988-03-17,387.38,387.38,387.38,387.38
1988-03-18,396.23,396.23,396.23,396.23
1988-03-21,400.31,400.31,400.31,400.31
1988-03-22,398.11,398.11,398.11,398.11
1988-03-23,399.42,399.42,399.42,399.42
1988-03-24,405.06,405.06,405.06,405.06
1988-03-25,402.05,402.05,402.05,402.05
1988-03-28,380.29,380.29,380.29,380.29
1988-03-29,390.61,390.61,390.61,390.61
1988-03-30,394.32,394.32,394.32,394.32
1988-03-31,388.9,388.9,388.9,388.9
1988-04-04,388.42,388.42,388.42,388.42
1988-04-05,386.51,386.51,386.51,386.51
1988-04-07,396.27,396.27,396.27,396.27
1988-04-08,394.34,394.34,394.34,394.34
1988-04-11,396.13,396.13,396.13,396.13
1988-04-12,400.75,400.75,400.75,400.75
1988-04-14,405.19,405.19,405.19,405.19
1988-04-15,394.71,394.71,394.71,394.71
1988-04-18,397.58,397.58,397.58,397.58
1988-04-19,384.02,384.02,384.02,384.02
1988-04-20,392.55,392.55,392.55,392.55
1988-04-21,391.38,391.38,391.38,391.38
1988-04-22,398,398,398,398
1988-04-25,402.35,402.35,402.35,402.35
1988-04-26,405.03,405.03,405.03,405.03
